dataname,annotationdir,audiodir,audioext,performer,type,language,sex,groupid,blinding
Adam_Tierney_English_Traditional_SimpleGifts_20230129_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Adam Tierney,desc,English,M,1,FALSE
Adam_Tierney_English_Traditional_SimpleGifts_20230129_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Adam Tierney,song,English,M,1,FALSE
Aleksandar_Arabadjiev_Macedonian_Traditional_Jovano_20221022_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Aleksandar Arabadjiev,desc,Macedonian,M,2,TRUE
Aleksandar_Arabadjiev_Macedonian_Traditional_Jovano_20221022_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Aleksandar Arabadjiev,song,Macedonian,M,2,TRUE
Andrea_Ravignani_Italian_Traditional_Bella-Ciao_20221213_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Andrea Ravignani,desc,Italian,M,3,FALSE
Andrea_Ravignani_Italian_Traditional_Bella-Ciao_20221213_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Andrea Ravignani,song,Italian,M,3,FALSE
Brenda_Barbosa_Guarani_Traditional_Apykaxu_20230228_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Brenda Barbosa,desc,Guarani,F,61,FALSE
Brenda_Barbosa_Guarani_Traditional_Apykaxu_20230228_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Brenda Barbosa,song,Guarani,F,61,FALSE
Camila_Bruder_Portuguese_Traditional_A Canoa Virou_20221015_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Camila Bruder,desc,Portuguese,F,4,TRUE
Camila_Bruder_Portuguese_Traditional_A Canoa Virou_20221015_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Camila Bruder,song,Portuguese,F,4,TRUE
Christina_derNederlanden_English_Traditional_SleepNowRestNow_20221022_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Christina derNederlanden,desc,English,F,5,TRUE
Christina_derNederlanden_English_Traditional_SleepNowRestNow_20221022_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Christina derNederlanden,song,English,F,5,TRUE
Cristiano_Tsope_Ronga_Traditional_Hiya Tlanguela xinwanana xinga pswaliwa namuntla_20230131_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Cristiano Tsope,desc,Ronga,M,6,FALSE
Cristiano_Tsope_Ronga_Traditional_Hiya Tlanguela xinwanana xinga pswaliwa namuntla_20230131_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Cristiano Tsope,song,Ronga,M,6,FALSE
Daniel_Fredriksson_Swedish_Traditional_HoMaja_202210120_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Daniel Fredriksson,desc,Swedish,M,7,TRUE
Daniel_Fredriksson_Swedish_Traditional_HoMaja_202210120_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Daniel Fredriksson,song,Swedish,M,7,TRUE
Dhwani_Sadaphal_Hindi_Traditional_Saraswatee maateshwaree_20221006_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Dhwani Sadaphal,desc,Hindi,F,8,FALSE
Dhwani_Sadaphal_Hindi_Traditional_Saraswatee maateshwaree_20221006_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Dhwani Sadaphal,song,Hindi,F,8,FALSE
"Dilyana_Kurdova_Bulgarian_Traditional_Zarad tebe, mome, mori_20221014_desc",./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,mp3,Dilyana Kurdova,desc,Bulgarian,F,9,TRUE
"Dilyana_Kurdova_Bulgarian_Traditional_Zarad tebe, mome, mori_20221014_song",./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,mp3,Dilyana Kurdova,song,Bulgarian,F,9,TRUE
Emmanouil_Benetos_Greek_Traditional_Saranta Palikaria_20221018_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Emmanouil Benetos,desc,Greek,M,10,TRUE
Emmanouil_Benetos_Greek_Traditional_Saranta Palikaria_20221018_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Emmanouil Benetos,song,Greek,M,10,TRUE
Fang_Liu_Mandarin_Traditional_Farewell_20220218_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,mov,Fang Liu,desc,Mandarin,F,11,TRUE
Fang_Liu_Mandarin_Traditional_Farewell_20220218_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,mov,Fang Liu,song,Mandarin,F,11,TRUE
Felix_Haiduk_German_Traditional_DieGedankenSindFrei_20221012_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Felix Haiduk,desc,German,M,12,TRUE
Felix_Haiduk_German_Traditional_DieGedankenSindFrei_20221012_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Felix Haiduk,song,German,M,12,TRUE
Florence_Nweke_Yoruba_Traditional_Pat omo o_20230113_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Florence Nweke,desc,Yoruba,F,13,FALSE
Florence_Nweke_Yoruba_Traditional_Pat omo o_20230113_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Florence Nweke,song,Yoruba,F,13,FALSE
Gakuto_Chiba_Japanese_Traditional_Tsugaru-yosarebushi_20220210_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Gakuto Chiba,desc,Japanese,M,14,TRUE
Gakuto_Chiba_Japanese_Traditional_Tsugaru-yosarebushi_20220210_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Gakuto Chiba,song,Japanese,M,14,TRUE
Great_Lekakul_Thai_Traditional_Lao Doung Duan_20221022_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Great Lekakul,desc,Thai,M,15,TRUE
Great_Lekakul_Thai_Traditional_Lao Doung Duan_20221022_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Great Lekakul,song,Thai,M,15,TRUE
Ignacio_Soto_Spanish_Traditional_El Lobo Chilote_20221130_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Ignacio Soto,desc,Spanish,M,16,FALSE
Ignacio_Soto_Spanish_Traditional_El Lobo Chilote_20221130_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Ignacio Soto,song,Spanish,M,16,FALSE
Iputugede_Setiawan_Balinese_Traditional_Putriceningayu_20221018_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Iputugede Setiawan,desc,Balinese,M,17,TRUE
Iputugede_Setiawan_Balinese_Traditional_Putriceningayu_20221018_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Iputugede Setiawan,song,Balinese,M,17,TRUE
Javier_SilvaZurita_Chilean_Traditional_Song_20221009_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Javier SilvaZurita,desc,Chilean,M,18,TRUE
Javier_SilvaZurita_Chilean_Traditional_Song_20221009_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Javier SilvaZurita,song,Chilean,M,18,TRUE
John_McBride_English_Traditional_Arthur McBride_20220209_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,John McBride,desc,English,M,19,TRUE
John_McBride_English_Traditional_Arthur McBride_20220209_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,John McBride,song,English,M,19,TRUE
Juan_S-Gómez-Cañón_Spanish_Traditional_Unknown_20221003_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Juan S. Gómez,desc,Spanish,M,62,TRUE
Juan_S-Gómez-Cañón_Spanish_Traditional_Unknown_20221003_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Juan S. Gómez,song,Spanish,M,62,TRUE
Kayla_Kolff_Dutch_Traditional_Dikkertje Dap_20221017_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Kayla Kolff,desc,Dutch,F,63,TRUE
Kayla_Kolff_Dutch_Traditional_Dikkertje Dap_20221017_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Kayla Kolff,song,Dutch,F,63,TRUE
Latyr_Sy_Wolof_Traditional_Mbeuguel_20221021_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Latyr Sy,desc,Wolof,M,20,TRUE
Latyr_Sy_Wolof_Traditional_Mbeuguel_20221021_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Latyr Sy,song,Wolof,M,20,TRUE
Limor_Raviv_Hebrew_Traditional_YerushalayimShelZahav_20221018_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,aac,Limor Raviv,desc,Hebrew,F,21,TRUE
Limor_Raviv_Hebrew_Traditional_YerushalayimShelZahav_20221018_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,aac,Limor Raviv,song,Hebrew,F,21,TRUE
Manuel_Anglada-Tort_Catalan_Traditional_LaPresódeLleida_20221108_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Manuel Anglada-Tort,desc,Catalan,M,22,TRUE
Manuel_Anglada-Tort_Catalan_Traditional_LaPresódeLleida_20221108_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Manuel Anglada-Tort,song,Catalan,M,22,TRUE
Marco_Varella_Portuguese_Traditional_Suite do Pescador_20220928_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,WMA,Marco Varella,desc,Portuguese,M,23,TRUE
Marco_Varella_Portuguese_Traditional_Suite do Pescador_20220928_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,WMA,Marco Varella,song,Portuguese,M,23,TRUE
Marin_Naruse_Amamidialect_Traditional_Asabanabushi_20221010_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Marin Naruse,desc,Amamidialect,F,24,TRUE
Marin_Naruse_Amamidialect_Traditional_Asabanabushi_20221010_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,wav,Marin Naruse,song,Amamidialect,F,24,TRUE
Mark_Parselelo_Swahili_Traditional_Lala Mtoto Lala_20221023_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Mark Parselelo,desc,Swahili,M,25,TRUE
Mark_Parselelo_Swahili_Traditional_Lala Mtoto Lala_20221023_song,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,m4a,Mark Parselelo,song,Swahili,M,25,TRUE
Mark_vanTongeren_Dutch_Traditional_Hoor De Wind waait_20221023_desc,./data/Stage 2 Annotation (pYIN-Praat)/,G:\Datasets\Song-Speech\Audio recordings\,WAV,Mark vanTongeren,desc,Dutch,M,26,TRUE
