feature,lang,diff,stderr,ci95_l,ci95_u,method
f0,English,0.910435692541857,0.0041604909844701,0.902279313305429,0.918592071778285,common language effect size
-|Δf0|,English,0.814140042958423,0.00604334854137775,0.802291817472724,0.825988268444123,common language effect size
Spectral centroid,English,0.358982925166741,0.00887106314034071,0.341590550649458,0.376375299684025,common language effect size
f0,Macedonian,0.928208897186409,0.00336672608929951,0.921608477972587,0.934809316400232,common language effect size
-|Δf0|,Macedonian,0.670610210520382,0.00844750826409503,0.654045352981657,0.687175068059108,common language effect size
Spectral centroid,Macedonian,0.439126948002688,0.0111880501122343,0.41718367692806,0.461070219077315,common language effect size
f0,Italian,0.669603416100534,0.0079286650545612,0.654058468950245,0.685148363250823,common language effect size
-|Δf0|,Italian,0.69639967273095,0.00793132970789051,0.68084896554698,0.71195037991492,common language effect size
Spectral centroid,Italian,0.513285665383567,0.0091848699513715,0.495277891067312,0.531293439699823,common language effect size
f0,Portuguese,0.992271722034163,0.000741023655643972,0.99081881148778,0.993724632580547,common language effect size
-|Δf0|,Portuguese,0.735315065967185,0.00728543726110531,0.721031138133235,0.749598993801134,common language effect size
Spectral centroid,Portuguese,0.675668413848362,0.00859854831538155,0.658809836546913,0.692526991149812,common language effect size
f0,English,0.895490258046802,0.00424617485900971,0.887165258778292,0.903815257315312,common language effect size
-|Δf0|,English,0.745806660000793,0.00715306108038963,0.731782256143766,0.75983106385782,common language effect size
Spectral centroid,English,0.568470740049162,0.00924182630944478,0.550350503287975,0.586590976810348,common language effect size
f0,Ronga,0.965538265338749,0.00219079005867423,0.96124297095265,0.969833559724847,common language effect size
-|Δf0|,Ronga,0.724777507979749,0.00757031383132644,0.709934727216733,0.739620288742764,common language effect size
Spectral centroid,Ronga,0.428974525474525,0.00911770902135525,0.411098537263262,0.446850513685789,common language effect size
f0,Swedish,0.849205027393385,0.00581978346938712,0.837794667997718,0.860615386789051,common language effect size
-|Δf0|,Swedish,0.747335573491064,0.00776764198796754,0.732105739727785,0.762565407254343,common language effect size
Spectral centroid,Swedish,0.491693371563501,0.00920934477805906,0.473637395026288,0.509749348100715,common language effect size
f0,Hindi,0.996484517081957,0.00051838287208323,0.99546809426232,0.997500939901593,common language effect size
